2021-May-01 18:51:52 - INFO - root - p5624 {run.py:17} - Billing Calculated Table ETL has Started
2021-May-01 18:53:21 - INFO - root - p5624 {run.py:19} - Billing Calculated Table ETL has Ended
2021-May-01 19:54:10 - INFO - root - p16412 {run.py:17} - Billing Calculated Table ETL has Started
2021-May-01 19:54:11 - INFO - root - p16412 {run.py:19} - Billing Calculated Table ETL has Ended
2021-May-01 19:55:15 - INFO - root - p3484 {run.py:17} - Billing Calculated Table ETL has Started
2021-May-01 19:56:52 - INFO - root - p3484 {run.py:19} - Billing Calculated Table ETL has Ended
2021-May-01 19:57:59 - INFO - root - p10644 {run.py:17} - Billing Calculated Table ETL has Started
2021-May-01 19:59:38 - INFO - root - p10644 {run.py:19} - Billing Calculated Table ETL has Ended
2021-May-01 22:10:35 - INFO - root - p16148 {run.py:17} - Billing Calculated Table ETL has Started
2021-May-01 22:10:36 - INFO - root - p16148 {run.py:19} - Billing Calculated Table ETL has Ended
2021-May-01 22:11:45 - INFO - root - p16896 {run.py:17} - Billing Calculated Table ETL has Started
2021-May-01 22:11:45 - INFO - root - p16896 {run.py:19} - Billing Calculated Table ETL has Ended
2021-May-01 22:12:16 - INFO - root - p13840 {run.py:17} - Billing Calculated Table ETL has Started
2021-May-01 22:19:23 - INFO - root - p13628 {run.py:17} - Billing Calculated Table ETL has Started
2021-May-01 22:21:08 - INFO - root - p13628 {run.py:19} - Billing Calculated Table ETL has Ended
2021-May-03 18:41:06 - INFO - root - p2428 {run.py:17} - Billing Calculated Table ETL has Started
2021-May-03 18:45:16 - INFO - root - p12392 {run.py:17} - Billing Calculated Table ETL has Started
2021-May-03 18:51:09 - INFO - root - p3156 {run.py:17} - Billing Calculated Table ETL has Started
2021-May-03 18:52:03 - INFO - root - p3156 {run.py:19} - Billing Calculated Table ETL has Ended
2021-May-04 13:19:04 - INFO - root - p6972 {run.py:17} - Billing Calculated Table ETL has Started
2021-May-04 13:19:22 - INFO - root - p6972 {run.py:19} - Billing Calculated Table ETL has Ended
2021-May-04 14:14:49 - INFO - root - p9768 {run.py:17} - Billing Calculated Table ETL has Started
2021-May-04 14:15:03 - INFO - root - p9768 {run.py:19} - Billing Calculated Table ETL has Ended
